"ITTER107","Territory","TIPO_DATO_SDS_ICT","Data type","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","FAM_INT_YES","households with internet access at home","2019","2019",76.1,,
"IT","Italy","FAM_NO_ELSE","have access to internet elsewhere","2019","2019",9.2,,
"IT","Italy","FAM_NO_USE"," not useful, not interesting ","2019","2019",25.5,,
"IT","Italy","FAM_NO_EQUI","equipment costs too high","2019","2019",7.2,,
"IT","Italy","FAM_NO_COST","access costs too high","2019","2019",9.3,,
"IT","Italy","FAM_NO_SKIL","lack of skills","2019","2019",56.4,,
"IT","Italy","FAM_NO_SEC","privacy or security concerns","2019","2019",2.3,,
"IT","Italy","FAM_NO_BROAD","broadband internet not available in our area","2019","2019",1.9,,
"IT","Italy","FAM_NO_OTH","other","2019","2019",4.9,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2019","2019",77.1,,
"ITC","Nord-ovest","FAM_NO_ELSE","have access to internet elsewhere","2019","2019",9.6,,
"ITC","Nord-ovest","FAM_NO_USE"," not useful, not interesting ","2019","2019",24.4,,
"ITC","Nord-ovest","FAM_NO_EQUI","equipment costs too high","2019","2019",6.4,,
"ITC","Nord-ovest","FAM_NO_COST","access costs too high","2019","2019",7.5,,
"ITC","Nord-ovest","FAM_NO_SKIL","lack of skills","2019","2019",56.7,,
"ITC","Nord-ovest","FAM_NO_SEC","privacy or security concerns","2019","2019",2.1,,
"ITC","Nord-ovest","FAM_NO_BROAD","broadband internet not available in our area","2019","2019",2,,
"ITC","Nord-ovest","FAM_NO_OTH","other","2019","2019",6.5,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2019","2019",73.5,,
"ITC1","Piemonte","FAM_NO_ELSE","have access to internet elsewhere","2019","2019",8.6,,
"ITC1","Piemonte","FAM_NO_USE"," not useful, not interesting ","2019","2019",27.7,,
"ITC1","Piemonte","FAM_NO_EQUI","equipment costs too high","2019","2019",5.8,,
"ITC1","Piemonte","FAM_NO_COST","access costs too high","2019","2019",8.7,,
"ITC1","Piemonte","FAM_NO_SKIL","lack of skills","2019","2019",56,,
"ITC1","Piemonte","FAM_NO_SEC","privacy or security concerns","2019","2019",2.9,,
"ITC1","Piemonte","FAM_NO_BROAD","broadband internet not available in our area","2019","2019",2.2,,
