"TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Educational level","TIME","Select time","Value","Flag Codes","Flags"
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2001","2001",39.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2002","2002",39.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2003","2003",43.7,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2005","2005",46.7,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2006","2006",49.6,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2007","2007",53,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2008","2008",57.6,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2009","2009",62.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2010","2010",68.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2011","2011",73,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2012","2012",73.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2013","2013",76.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2014","2014",79.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2015","2015",82.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2016","2016",85.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2017","2017",87.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2018","2018",89.1,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2019","2019",89.1,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2001","2001",5.3,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2002","2002",4.9,,
