"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W10_49","10-49","2018","2018",15.29,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE10","10 and over","2018","2018",17.59,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W50_99","50-99","2018","2018",25.52,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W100_249","100-249","2018","2018",36.98,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE250","250 and over","2018","2018",44.35,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W10_49","10-49","2018","2018",14.45,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE10","10 and over","2018","2018",15.28,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W50_99","50-99","2018","2018",23.75,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W100_249","100-249","2018","2018",34.11,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE250","250 and over","2018","2018",44.34,,
"IT","Italy","E_CC_PEM_PERC","e-mail","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",20.09,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2018","2018",14.12,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2018","2018",9.83,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2018","2018",12.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2018","2018",16.36,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CL","manufacture of transport equipment","W_GE10","10 and over","2018","2018",13.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2018","2018",21.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JC","it and other information services","W_GE10","10 and over","2018","2018",48.69,,
"IT","Italy","E_CC_PEM_PERC","e-mail","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2018","2018",35.41,,
"IT","Italy","E_CC_PEM_PERC","e-mail","53","postal and courier activities","W_GE10","10 and over","2018","2018",3.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","55","accommodation ","W_GE10","10 and over","2018","2018",21.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","56","food service activities","W_GE10","10 and over","2018","2018",5.26,,
"IT","Italy","E_CC_PEM_PERC","e-mail","58","publishing activities","W_GE10","10 and over","2018","2018",44.95,,
"IT","Italy","E_CC_PEM_PERC","e-mail","61","telecommunications","W_GE10","10 and over","2018","2018",41.08,,
"IT","Italy","E_CC_PEM_PERC","e-mail","68","real estate activities","W_GE10","10 and over","2018","2018",26.72,,
"IT","Italy","E_CC_PEM_PERC","e-mail","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2018","2018",39.36,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2018","2018",23.47,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2018","2018",22.02,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2018","2018",27.41,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2018","2018",35.39,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2018","2018",20.35,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0033","ict sector","W_GE10","10 and over","2018","2018",45.51,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2018","2018",18.5,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2018","2018",19.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2018","2018",25.71,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2018","2018",30.22,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2018","2018",40.19,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2018","2018",16.99,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",18.55,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2018","2018",25.56,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2018","2018",33.48,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2018","2018",42.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2018","2018",18.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2018","2018",22.13,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2018","2018",27.68,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2018","2018",35.2,,
