"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","C","manufacturing","W10_49","10-49","2018","2018",83.28,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","C","manufacturing","W_GE10","10 and over","2018","2018",84.31,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","C","manufacturing","W50_99","50-99","2018","2018",89.27,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","C","manufacturing","W100_249","100-249","2018","2018",92.43,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","C","manufacturing","W_GE250","250 and over","2018","2018",91.46,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","F","construction","W10_49","10-49","2018","2018",88.74,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","F","construction","W_GE10","10 and over","2018","2018",88.63,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","F","construction","W50_99","50-99","2018","2018",87.44,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","F","construction","W100_249","100-249","2018","2018",85.84,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","F","construction","W_GE250","250 and over","2018","2018",87.01,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",90.46,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2018","2018",88.22,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2018","2018",83.77,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2018","2018",74.95,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2018","2018",82.09,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CL","manufacture of transport equipment","W_GE10","10 and over","2018","2018",89.51,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2018","2018",87.61,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","JC","it and other information services","W_GE10","10 and over","2018","2018",73.91,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","26","manufacture of computer, electronic and optical products","W_GE10","10 and over","2018","2018",76.55,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","53","postal and courier activities","W_GE10","10 and over","2018","2018",95.66,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","55","accommodation ","W_GE10","10 and over","2018","2018",94.76,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","56","food service activities","W_GE10","10 and over","2018","2018",83.52,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","58","publishing activities","W_GE10","10 and over","2018","2018",90.85,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","61","telecommunications","W_GE10","10 and over","2018","2018",80.02,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","68","real estate activities","W_GE10","10 and over","2018","2018",85.25,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2018","2018",79.7,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2018","2018",89.52,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2018","2018",82.93,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2018","2018",70.79,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2018","2018",89.62,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2018","2018",77.04,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0033","ict sector","W_GE10","10 and over","2018","2018",75.55,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W10_49","10-49","2018","2018",85.97,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE10","10 and over","2018","2018",85.93,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2018","2018",85.41,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2018","2018",85.45,,
