"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","C","manufacturing","W10_49","10-49","2019","2019",11.61,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","C","manufacturing","W_GE10","10 and over","2019","2019",17.84,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","C","manufacturing","W50_99","50-99","2019","2019",39.16,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","C","manufacturing","W100_249","100-249","2019","2019",70.56,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","C","manufacturing","W_GE250","250 and over","2019","2019",89.6,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","F","construction","W10_49","10-49","2019","2019",7.64,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","F","construction","W_GE10","10 and over","2019","2019",8.94,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","F","construction","W50_99","50-99","2019","2019",21.79,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","F","construction","W100_249","100-249","2019","2019",36.51,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","F","construction","W_GE250","250 and over","2019","2019",71.86,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2019","2019",13.83,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2019","2019",12.33,,
"IT","Italy","E_ITSP2_PERC","enterprises employing ICT/IT specialists (percentages)","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2019","2019",8.36,,
