"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.75,,
"ITC1","Piemonte","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.73,,
"ITC1","Piemonte","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",96.85,,
"ITC1","Piemonte","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",93.45,,
"ITC1","Piemonte","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",76.3,,
"ITC1","Piemonte","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",68.03,,
"ITC1","Piemonte","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",13.44,,
"ITC1","Piemonte","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",55.05,,
"ITC1","Piemonte","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",47.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",100,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",100,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",98.76,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",93.56,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",73.25,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",68.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",20.04,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",56.85,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",48.9,,
"ITC3","Liguria","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",95.58,,
"ITC3","Liguria","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",91.32,,
"ITC3","Liguria","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",81.8,,
"ITC3","Liguria","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",79.71,,
"ITC3","Liguria","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",65.96,,
"ITC3","Liguria","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",60.29,,
"ITC3","Liguria","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",10.78,,
"ITC3","Liguria","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",63.44,,
"ITC3","Liguria","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",56,,
"ITC4","Lombardia","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.49,,
"ITC4","Lombardia","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.25,,
"ITC4","Lombardia","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",96.49,,
"ITC4","Lombardia","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",93.01,,
"ITC4","Lombardia","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",80.29,,
"ITC4","Lombardia","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",71.21,,
"ITC4","Lombardia","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",13.53,,
"ITC4","Lombardia","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",59.42,,
"ITC4","Lombardia","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",53.65,,
"ITDA","Trentino Alto Adige / Südtirol","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.84,,
"ITDA","Trentino Alto Adige / Südtirol","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.6,,
"ITDA","Trentino Alto Adige / Südtirol","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",96.24,,
"ITDA","Trentino Alto Adige / Südtirol","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",91.72,,
"ITDA","Trentino Alto Adige / Südtirol","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",84.15,,
"ITDA","Trentino Alto Adige / Südtirol","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",69.12,,
"ITDA","Trentino Alto Adige / Südtirol","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",25.01,,
"ITDA","Trentino Alto Adige / Südtirol","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",55.33,,
"ITDA","Trentino Alto Adige / Südtirol","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",49.37,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",100,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.89,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",97.36,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",92.49,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",85.96,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",72.83,,
"ITD1","Provincia Autonoma Bolzano / Bozen","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",25.23,,
"ITD1","Provincia Autonoma Bolzano / Bozen","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",57.43,,
"ITD1","Provincia Autonoma Bolzano / Bozen","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",50.57,,
"ITD2","Provincia Autonoma Trento","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.6,,
"ITD2","Provincia Autonoma Trento","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.2,,
"ITD2","Provincia Autonoma Trento","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",94.65,,
"ITD2","Provincia Autonoma Trento","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",90.62,,
"ITD2","Provincia Autonoma Trento","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",81.58,,
"ITD2","Provincia Autonoma Trento","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",63.85,,
"ITD2","Provincia Autonoma Trento","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",24.69,,
"ITD2","Provincia Autonoma Trento","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",52.49,,
"ITD2","Provincia Autonoma Trento","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",47.76,,
"ITD3","Veneto","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.66,,
"ITD3","Veneto","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.24,,
"ITD3","Veneto","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",97.5,,
"ITD3","Veneto","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",95.41,,
"ITD3","Veneto","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",77.99,,
"ITD3","Veneto","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",63.62,,
"ITD3","Veneto","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",11.48,,
"ITD3","Veneto","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",54.36,,
"ITD3","Veneto","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",45.35,,
"ITD4","Friuli-Venezia Giulia","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",97.33,,
"ITD4","Friuli-Venezia Giulia","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",97.29,,
"ITD4","Friuli-Venezia Giulia","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",95.96,,
"ITD4","Friuli-Venezia Giulia","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",91.8,,
"ITD4","Friuli-Venezia Giulia","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",73.05,,
"ITD4","Friuli-Venezia Giulia","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",72.76,,
"ITD4","Friuli-Venezia Giulia","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",12.02,,
"ITD4","Friuli-Venezia Giulia","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",54.25,,
"ITD4","Friuli-Venezia Giulia","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",47.8,,
"ITD5","Emilia-Romagna","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.98,,
"ITD5","Emilia-Romagna","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.98,,
"ITD5","Emilia-Romagna","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",97.55,,
"ITD5","Emilia-Romagna","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",95.73,,
"ITD5","Emilia-Romagna","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",83.93,,
"ITD5","Emilia-Romagna","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",69.6,,
"ITD5","Emilia-Romagna","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",15.81,,
"ITD5","Emilia-Romagna","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",57.54,,
"ITD5","Emilia-Romagna","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",52.26,,
"ITE1","Toscana","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.09,,
"ITE1","Toscana","E_IACC_PERC","enterprises connected to Internet (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",98.03,,
"ITE1","Toscana","E_BROAD2_PERC","via fixed or mobile broadband (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",92,,
"ITE1","Toscana","E_BROAD_PERC","via fixed broadband ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",87.74,,
"ITE1","Toscana","E_WEB_PERC","enterprises with a web site or a homepage (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",68.52,,
"ITE1","Toscana","E_PMD_PERC","enterprises providing to the persons employed portable devices that allow a mobile connection to the Internet for business use (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",60.56,,
"ITE1","Toscana","E_AESELL_PERC","on-line sales via computer networks (web and/or EDI) ","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",17.24,,
"ITE1","Toscana","P_CUSE_PERC","persons employed using computers at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",53.29,,
"ITE1","Toscana","P_IUSE_PERC","persons employed using computers with access to Internet at least once a week (percentage on total persons employed)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",48.34,,
"ITE2","Umbria","E_CUSE_PERC","enterprises using computers (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2019","2019",99.83,,
