"ITTER107","Territory","TIPO_DATO_CIS","Indicators","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",157826,,
"IT","Italy","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",76895,,
"IT","Italy","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",48.7,,
"IT","Italy","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",60138,,
"IT","Italy","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",38.1,,
"IT","Italy","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",56371,,
"IT","Italy","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",35.7171822133235,,
"IT","Italy","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",30561452,,
"IT","Italy","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.8,,
"IT","Italy","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",8157,,
"IT","Italy","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",13.6,,
"ITC","Nord-ovest","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",52790,,
"ITC","Nord-ovest","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",28156,,
"ITC","Nord-ovest","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",53.3,,
"ITC","Nord-ovest","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",21893,,
"ITC","Nord-ovest","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",41.5,,
"ITC","Nord-ovest","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",20485,,
"ITC","Nord-ovest","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",38.8046978594431,,
"ITC","Nord-ovest","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",12258740,,
"ITC","Nord-ovest","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.9,,
"ITC","Nord-ovest","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3199,,
"ITC","Nord-ovest","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",14.6,,
"ITC1","Piemonte","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",11866,,
"ITC1","Piemonte","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",5999,,
"ITC1","Piemonte","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",50.6,,
"ITC1","Piemonte","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",4846,,
"ITC1","Piemonte","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",40.8,,
"ITC1","Piemonte","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",4492,,
"ITC1","Piemonte","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",37.8560593291758,,
