"ITTER107","Territory","TIPO_DATO_CIS","Indicators","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","FORMA_INNOVAZ","Information on the innovative enterprises","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",19268,,
"IT","Italy","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",16757,,
"IT","Italy","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",40870,,
"IT","Italy","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",25.1,,
"IT","Italy","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",21.8,,
"IT","Italy","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",53.2,,
"IT","Italy","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",56371,,
"IT","Italy","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",3767,,
"IT","Italy","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",93.7,,
"IT","Italy","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",6.3,,
"IT","Italy","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",13828,,
