"ITTER107","Region of study","TIPO_DATO6","Type of data","NATGIUR","Type of university","SEXISTAT1","Gender","TIPCORSOLAUREA","Type of programme","AREADIDATTICA","Field of study","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","18","graduates","9","total","1","males","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",2,,
"ITC1","Piemonte","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",250,,
"ITC1","Piemonte","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",127,,
"ITC1","Piemonte","18","graduates","9","total","1","males","9999","total","1","mathematics and physical science","2016","2016",379,,
"ITC1","Piemonte","18","graduates","9","total","2","females","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITC1","Piemonte","18","graduates","9","total","2","females","L","bachelor programmes","1","mathematics and physical science","2016","2016",145,,
"ITC1","Piemonte","18","graduates","9","total","2","females","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",92,,
"ITC1","Piemonte","18","graduates","9","total","2","females","9999","total","1","mathematics and physical science","2016","2016",237,,
"ITC1","Piemonte","18","graduates","9","total","9","total","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",2,,
"ITC1","Piemonte","18","graduates","9","total","9","total","L","bachelor programmes","1","mathematics and physical science","2016","2016",395,,
"ITC1","Piemonte","18","graduates","9","total","9","total","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",219,,
"ITC1","Piemonte","18","graduates","9","total","9","total","9999","total","1","mathematics and physical science","2016","2016",616,,
"ITC3","Liguria","18","graduates","9","total","1","males","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITC3","Liguria","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",86,,
"ITC3","Liguria","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",32,,
"ITC3","Liguria","18","graduates","9","total","1","males","9999","total","1","mathematics and physical science","2016","2016",118,,
"ITC3","Liguria","18","graduates","9","total","2","females","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",1,,
"ITC3","Liguria","18","graduates","9","total","2","females","L","bachelor programmes","1","mathematics and physical science","2016","2016",38,,
"ITC3","Liguria","18","graduates","9","total","2","females","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",30,,
"ITC3","Liguria","18","graduates","9","total","2","females","9999","total","1","mathematics and physical science","2016","2016",69,,
"ITC3","Liguria","18","graduates","9","total","9","total","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",1,,
"ITC3","Liguria","18","graduates","9","total","9","total","L","bachelor programmes","1","mathematics and physical science","2016","2016",124,,
"ITC3","Liguria","18","graduates","9","total","9","total","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",62,,
"ITC3","Liguria","18","graduates","9","total","9","total","9999","total","1","mathematics and physical science","2016","2016",187,,
"ITC4","Lombardia","18","graduates","9","total","1","males","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",5,,
"ITC4","Lombardia","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",661,,
"ITC4","Lombardia","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",302,,
"ITC4","Lombardia","18","graduates","9","total","1","males","9999","total","1","mathematics and physical science","2016","2016",968,,
"ITC4","Lombardia","18","graduates","9","total","2","females","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",2,,
"ITC4","Lombardia","18","graduates","9","total","2","females","L","bachelor programmes","1","mathematics and physical science","2016","2016",240,,
"ITC4","Lombardia","18","graduates","9","total","2","females","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",174,,
"ITC4","Lombardia","18","graduates","9","total","2","females","9999","total","1","mathematics and physical science","2016","2016",416,,
"ITC4","Lombardia","18","graduates","9","total","9","total","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",7,,
"ITC4","Lombardia","18","graduates","9","total","9","total","L","bachelor programmes","1","mathematics and physical science","2016","2016",901,,
"ITC4","Lombardia","18","graduates","9","total","9","total","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",476,,
"ITC4","Lombardia","18","graduates","9","total","9","total","9999","total","1","mathematics and physical science","2016","2016",1384,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","1","males","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",161,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",130,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","1","males","9999","total","1","mathematics and physical science","2016","2016",291,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","2","females","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","2","females","L","bachelor programmes","1","mathematics and physical science","2016","2016",42,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","2","females","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",74,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","2","females","9999","total","1","mathematics and physical science","2016","2016",116,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","9","total","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","9","total","L","bachelor programmes","1","mathematics and physical science","2016","2016",203,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","9","total","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",204,,
"ITDA","Trentino Alto Adige / Südtirol","18","graduates","9","total","9","total","9999","total","1","mathematics and physical science","2016","2016",407,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",16,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","1","males","9999","total","1","mathematics and physical science","2016","2016",21,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","2","females","L","bachelor programmes","1","mathematics and physical science","2016","2016",2,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","2","females","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","2","females","9999","total","1","mathematics and physical science","2016","2016",11,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","9","total","L","bachelor programmes","1","mathematics and physical science","2016","2016",7,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","9","total","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",25,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18","graduates","9","total","9","total","9999","total","1","mathematics and physical science","2016","2016",32,,
"ITD2","Provincia Autonoma Trento","18","graduates","9","total","1","males","CDL","old degree programmes (4-6 years master long first degree)","1","mathematics and physical science","2016","2016",0,,
"ITD2","Provincia Autonoma Trento","18","graduates","9","total","1","males","L","bachelor programmes","1","mathematics and physical science","2016","2016",156,,
"ITD2","Provincia Autonoma Trento","18","graduates","9","total","1","males","LS","master programmes (second degree)","1","mathematics and physical science","2016","2016",114,,
