"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2012","2012",312.488,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2013","2013",295.273,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2014","2014",280.65,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2015","2015",266.599,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2016","2016",255.61,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2017","2017",242.673,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2018","2018",226.2,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",211.578,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2012","2012",661.965,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2013","2013",658.802,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2014","2014",650.338,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2015","2015",664.716,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2016","2016",670.781,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2017","2017",674.676,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2018","2018",656.363,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",651.879,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2012","2012",141.36,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2013","2013",151.387,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2014","2014",152.374,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2015","2015",149.606,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2016","2016",144.927,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2017","2017",140.29,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2018","2018",147.788,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",154.293,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2012","2012",524.602,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2013","2013",526.095,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2014","2014",539.793,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2015","2015",542.506,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2016","2016",543.305,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2017","2017",543.945,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2018","2018",550.949,,
