"ITTER107","Territory","TIPO_DATO_SDS_ICT","Data type","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","FAM_INT_YES","households with internet access at home","2012","2012",55.5,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2013","2013",60.6,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2014","2014",64,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2015","2015",66.2,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2016","2016",69.2,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2017","2017",71.7,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2018","2018",75.1,,
"IT","Italy","FAM_INT_YES","households with internet access at home","2019","2019",76.1,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2012","2012",57.8,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2013","2013",61.8,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2014","2014",66.3,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2015","2015",67.9,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2016","2016",71.5,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2017","2017",73.5,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2018","2018",77.7,,
"ITC","Nord-ovest","FAM_INT_YES","households with internet access at home","2019","2019",77.1,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2012","2012",53.4,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2013","2013",58,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2014","2014",64.7,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2015","2015",64.8,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2016","2016",69.1,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2017","2017",70.1,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2018","2018",74.6,,
"ITC1","Piemonte","FAM_INT_YES","households with internet access at home","2019","2019",73.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2012","2012",58.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2013","2013",59.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2014","2014",62.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2015","2015",65.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2016","2016",69.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2017","2017",67.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2018","2018",74.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","FAM_INT_YES","households with internet access at home","2019","2019",77.4,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2012","2012",54.3,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2013","2013",55.2,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2014","2014",60.6,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2015","2015",64.3,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2016","2016",65.2,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2017","2017",71.9,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2018","2018",74.5,,
"ITC3","Liguria","FAM_INT_YES","households with internet access at home","2019","2019",75.9,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2012","2012",60.4,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2013","2013",64.8,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2014","2014",68.1,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2015","2015",70.1,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2016","2016",73.7,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2017","2017",75.5,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2018","2018",79.6,,
"ITC4","Lombardia","FAM_INT_YES","households with internet access at home","2019","2019",79,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2012","2012",58.3,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2013","2013",65.2,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2014","2014",67.8,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2015","2015",69.2,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2016","2016",72.4,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2017","2017",73.3,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2018","2018",78.3,,
"ITD","Nord-est","FAM_INT_YES","households with internet access at home","2019","2019",79.8,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2012","2012",62.2,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2013","2013",66.8,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2014","2014",70.9,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2015","2015",73.7,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2016","2016",72.5,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2017","2017",75.7,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2018","2018",80.9,,
"ITDA","Trentino Alto Adige / Südtirol","FAM_INT_YES","households with internet access at home","2019","2019",81.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2012","2012",63.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2013","2013",69.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2014","2014",73.5,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2015","2015",74.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2016","2016",72.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2017","2017",75.2,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2018","2018",80.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","FAM_INT_YES","households with internet access at home","2019","2019",80,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2012","2012",61.2,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2013","2013",64,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2014","2014",68.5,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2015","2015",73.3,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2016","2016",72.2,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2017","2017",76.1,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2018","2018",81.6,,
"ITD2","Provincia Autonoma Trento","FAM_INT_YES","households with internet access at home","2019","2019",82.3,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2012","2012",57.9,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2013","2013",66.5,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2014","2014",67.1,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2015","2015",68.5,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2016","2016",72.6,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2017","2017",73.3,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2018","2018",77.6,,
"ITD3","Veneto","FAM_INT_YES","households with internet access at home","2019","2019",80.6,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2012","2012",55.3,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2013","2013",62.6,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2014","2014",68.1,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2015","2015",69.4,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2016","2016",73.1,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2017","2017",70,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2018","2018",76.2,,
"ITD4","Friuli-Venezia Giulia","FAM_INT_YES","households with internet access at home","2019","2019",78.7,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2012","2012",58.8,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2013","2013",64.3,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2014","2014",67.8,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2015","2015",69,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2016","2016",71.9,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2017","2017",73.8,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2018","2018",79,,
"ITD5","Emilia-Romagna","FAM_INT_YES","households with internet access at home","2019","2019",79,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2012","2012",58.4,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2013","2013",63.6,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2014","2014",66.1,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2015","2015",68.1,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2016","2016",72,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2017","2017",73.2,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2018","2018",77,,
"ITE","Centro (I)","FAM_INT_YES","households with internet access at home","2019","2019",78.9,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2012","2012",55.9,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2013","2013",62.2,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2014","2014",66.7,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2015","2015",66.1,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2016","2016",71.9,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2017","2017",71.2,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2018","2018",77.6,,
"ITE1","Toscana","FAM_INT_YES","households with internet access at home","2019","2019",77.4,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2012","2012",54.6,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2013","2013",63.8,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2014","2014",62.4,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2015","2015",66.9,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2016","2016",69,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2017","2017",69.4,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2018","2018",74,,
"ITE2","Umbria","FAM_INT_YES","households with internet access at home","2019","2019",77.4,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2012","2012",58.9,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2013","2013",64.6,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2014","2014",65.3,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2015","2015",68.7,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2016","2016",70,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2017","2017",75.2,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2018","2018",76.3,,
"ITE3","Marche","FAM_INT_YES","households with internet access at home","2019","2019",76.7,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2012","2012",60.5,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2013","2013",64.2,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2014","2014",66.4,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2015","2015",69.4,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2016","2016",72.9,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2017","2017",74.6,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2018","2018",77.3,,
"ITE4","Lazio","FAM_INT_YES","households with internet access at home","2019","2019",80.5,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2012","2012",49.6,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2013","2013",55,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2014","2014",58.2,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2015","2015",61.7,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2016","2016",63.5,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2017","2017",68.2,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2018","2018",69.8,,
"ITF","Sud","FAM_INT_YES","households with internet access at home","2019","2019",71.4,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2012","2012",51.9,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2013","2013",60.9,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2014","2014",63,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2015","2015",64.3,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2016","2016",70,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2017","2017",71.8,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2018","2018",72.5,,
"ITF1","Abruzzo","FAM_INT_YES","households with internet access at home","2019","2019",76.1,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2012","2012",47.7,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2013","2013",50.8,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2014","2014",57.7,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2015","2015",61.1,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2016","2016",63.2,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2017","2017",66,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2018","2018",66.3,,
"ITF2","Molise","FAM_INT_YES","households with internet access at home","2019","2019",69,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2012","2012",50.9,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2013","2013",55.1,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2014","2014",58.8,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2015","2015",64,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2016","2016",64.4,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2017","2017",70.5,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2018","2018",70.5,,
"ITF3","Campania","FAM_INT_YES","households with internet access at home","2019","2019",73.3,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2012","2012",49.3,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2013","2013",55,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2014","2014",58.5,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2015","2015",59.8,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2016","2016",62.4,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2017","2017",66.6,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2018","2018",70.4,,
"ITF4","Puglia","FAM_INT_YES","households with internet access at home","2019","2019",69.6,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2012","2012",44.6,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2013","2013",54.8,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2014","2014",53.9,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2015","2015",58.6,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2016","2016",62.7,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2017","2017",66,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2018","2018",68.8,,
"ITF5","Basilicata","FAM_INT_YES","households with internet access at home","2019","2019",69,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2012","2012",47.2,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2013","2013",51.7,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2014","2014",54,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2015","2015",58.1,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2016","2016",59.4,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2017","2017",64.2,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2018","2018",65.9,,
"ITF6","Calabria","FAM_INT_YES","households with internet access at home","2019","2019",67.3,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2012","2012",50.6,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2013","2013",54.7,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2014","2014",59.3,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2015","2015",61.7,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2016","2016",63.6,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2017","2017",67.9,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2018","2018",69.5,,
"ITG","Isole","FAM_INT_YES","households with internet access at home","2019","2019",71.3,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2012","2012",48.3,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2013","2013",52.1,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2014","2014",55.9,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2015","2015",59.7,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2016","2016",60.6,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2017","2017",66.9,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2018","2018",66.4,,
"ITG1","Sicilia","FAM_INT_YES","households with internet access at home","2019","2019",69.4,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2012","2012",57.2,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2013","2013",62.1,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2014","2014",69.2,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2015","2015",67.3,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2016","2016",72.4,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2017","2017",70.5,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2018","2018",78,,
"ITG2","Sardegna","FAM_INT_YES","households with internet access at home","2019","2019",76.5,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2012","2012",61.1,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2013","2013",64.1,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2014","2014",66.2,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2015","2015",69.7,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2016","2016",72.9,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2017","2017",76.8,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2018","2018",79,,
"2","metropolitan area - centre","FAM_INT_YES","households with internet access at home","2019","2019",80.4,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2012","2012",59.8,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2013","2013",64.7,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2014","2014",68.5,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2015","2015",68.1,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2016","2016",74.9,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2017","2017",75.5,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2018","2018",77.6,,
"3","metropolitan area - suburbs","FAM_INT_YES","households with internet access at home","2019","2019",79.3,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2012","2012",48.1,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2013","2013",51.4,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2014","2014",55.7,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2015","2015",57.2,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2016","2016",60.8,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2017","2017",61.1,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2018","2018",68.4,,
"6","until 2,000 inhab.","FAM_INT_YES","households with internet access at home","2019","2019",69.6,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2012","2012",53.5,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2013","2013",59.5,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2014","2014",62.6,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2015","2015",65.3,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2016","2016",66.4,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2017","2017",68.8,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2018","2018",74,,
"7","2,001 - 10,000 inhab.","FAM_INT_YES","households with internet access at home","2019","2019",73.4,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2012","2012",53.9,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2013","2013",58.1,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2014","2014",63.5,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2015","2015",65.2,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2016","2016",68.2,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2017","2017",70.7,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2018","2018",74.5,,
"8","10,001 - 50,000 inhab.","FAM_INT_YES","households with internet access at home","2019","2019",74.5,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2012","2012",54.9,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2013","2013",62.9,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2014","2014",64.3,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2015","2015",67.2,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2016","2016",69.7,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2017","2017",73.6,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2018","2018",73.9,,
"9","50,001 inhab. and over","FAM_INT_YES","households with internet access at home","2019","2019",77.4,,
