"ITTER107","Territory","TIPO_DATO_SDS_ICT","Data type","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","COMM_3","within the last 3 months","2012","2012",18.5,,
"IT","Italy","COMM_3","within the last 3 months","2013","2013",22.1,,
"IT","Italy","COMM_3","within the last 3 months","2014","2014",23.2,,
"IT","Italy","COMM_3","within the last 3 months","2015","2015",26,,
"IT","Italy","COMM_3","within the last 3 months","2016","2016",27.6,,
"IT","Italy","COMM_3","within the last 3 months","2017","2017",30.5,,
"IT","Italy","COMM_3","within the last 3 months","2018","2018",32.7,,
"IT","Italy","COMM_3","within the last 3 months","2019","2019",34.8,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2012","2012",9.8,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2013","2013",9.6,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2014","2014",10.8,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2015","2015",12,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2016","2016",12.2,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2017","2017",12.3,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2018","2018",12.6,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2019","2019",12.6,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2012","2012",9.7,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2013","2013",9.9,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2014","2014",10.6,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2015","2015",9.5,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2016","2016",9.5,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2017","2017",9,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2018","2018",9.4,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2019","2019",9,,
"IT","Italy","COMM_NEVER","never","2012","2012",61,,
"IT","Italy","COMM_NEVER","never","2013","2013",57.4,,
"IT","Italy","COMM_NEVER","never","2014","2014",54.3,,
"IT","Italy","COMM_NEVER","never","2015","2015",51.2,,
"IT","Italy","COMM_NEVER","never","2016","2016",49.6,,
"IT","Italy","COMM_NEVER","never","2017","2017",47.1,,
"IT","Italy","COMM_NEVER","never","2018","2018",44.4,,
"IT","Italy","COMM_NEVER","never","2019","2019",42.2,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2012","2012",21.7,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2013","2013",25,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2014","2014",26.9,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2015","2015",31.9,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2016","2016",33.1,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2017","2017",33.8,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2018","2018",38.7,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2019","2019",40.8,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2012","2012",10.7,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2013","2013",11,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2014","2014",12.8,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2015","2015",13.4,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2016","2016",12.3,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2017","2017",12.8,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2018","2018",13,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2019","2019",12.8,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2012","2012",9.4,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2013","2013",9.4,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2014","2014",9.4,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2015","2015",8.8,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2016","2016",8.8,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2017","2017",8.3,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2018","2018",7.9,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2019","2019",7.3,,
"ITC","Nord-ovest","COMM_NEVER","never","2012","2012",57.3,,
"ITC","Nord-ovest","COMM_NEVER","never","2013","2013",53.7,,
"ITC","Nord-ovest","COMM_NEVER","never","2014","2014",50.1,,
"ITC","Nord-ovest","COMM_NEVER","never","2015","2015",44.6,,
"ITC","Nord-ovest","COMM_NEVER","never","2016","2016",45,,
"ITC","Nord-ovest","COMM_NEVER","never","2017","2017",44.1,,
"ITC","Nord-ovest","COMM_NEVER","never","2018","2018",39.5,,
"ITC","Nord-ovest","COMM_NEVER","never","2019","2019",38,,
"ITC1","Piemonte","COMM_3","within the last 3 months","2012","2012",20.5,,
"ITC1","Piemonte","COMM_3","within the last 3 months","2013","2013",21,,
"ITC1","Piemonte","COMM_3","within the last 3 months","2014","2014",26.9,,
"ITC1","Piemonte","COMM_3","within the last 3 months","2015","2015",29.3,,
