"ITTER107","Territory","TIPO_DATO_SDS_ICT","Data type","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","PA_INFO","obtaining information","2010","2010",37,,
"ITC1","Piemonte","PA_INFO","obtaining information","2011","2011",40,,
"ITC1","Piemonte","PA_INFO","obtaining information","2012","2012",30.3,,
"ITC1","Piemonte","PA_INFO","obtaining information","2013","2013",26.1,,
"ITC1","Piemonte","PA_INFO","obtaining information","2014","2014",32.4,,
"ITC1","Piemonte","PA_INFO","obtaining information","2015","2015",33,,
"ITC1","Piemonte","PA_INFO","obtaining information","2016","2016",31.2,,
"ITC1","Piemonte","PA_INFO","obtaining information","2017","2017",26.2,,
"ITC1","Piemonte","PA_INFO","obtaining information","2018","2018",24.2,,
"ITC1","Piemonte","PA_INFO","obtaining information","2019","2019",22.4,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2010","2010",26.5,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2011","2011",26.6,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2012","2012",22.5,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2013","2013",22.8,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2014","2014",27.5,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2015","2015",26.8,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2016","2016",25,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2017","2017",23.8,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2018","2018",22.3,,
"ITC1","Piemonte","PA_DOWFO","downloading official forms","2019","2019",19.4,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2010","2010",12.4,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2011","2011",13.2,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2012","2012",15.4,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2013","2013",14.1,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2014","2014",20.3,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2015","2015",20.3,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2016","2016",18.4,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2017","2017",18.4,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2018","2018",19,,
"ITC1","Piemonte","PA_SUBFO","submitting completed forms","2019","2019",16.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2010","2010",44.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2011","2011",44.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2012","2012",34.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2013","2013",31.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2014","2014",29.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2015","2015",37.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2016","2016",36,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2017","2017",29.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2018","2018",27.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_INFO","obtaining information","2019","2019",28.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2010","2010",31.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2011","2011",32.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2012","2012",31.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2013","2013",29.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2014","2014",25.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2015","2015",34.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2016","2016",30.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2017","2017",24.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2018","2018",28.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_DOWFO","downloading official forms","2019","2019",26.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2010","2010",17,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2011","2011",17.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2012","2012",15.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2013","2013",17.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2014","2014",12.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2015","2015",24.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2016","2016",23.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2017","2017",18,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2018","2018",23.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PA_SUBFO","submitting completed forms","2019","2019",20.5,,
"ITC3","Liguria","PA_INFO","obtaining information","2010","2010",36.7,,
"ITC3","Liguria","PA_INFO","obtaining information","2011","2011",30.1,,
"ITC3","Liguria","PA_INFO","obtaining information","2012","2012",24.3,,
"ITC3","Liguria","PA_INFO","obtaining information","2013","2013",25.6,,
"ITC3","Liguria","PA_INFO","obtaining information","2014","2014",25.5,,
"ITC3","Liguria","PA_INFO","obtaining information","2015","2015",28.5,,
"ITC3","Liguria","PA_INFO","obtaining information","2016","2016",25.3,,
"ITC3","Liguria","PA_INFO","obtaining information","2017","2017",27.1,,
"ITC3","Liguria","PA_INFO","obtaining information","2018","2018",25,,
"ITC3","Liguria","PA_INFO","obtaining information","2019","2019",23.6,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2010","2010",25.7,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2011","2011",20.9,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2012","2012",20,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2013","2013",22.3,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2014","2014",21,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2015","2015",24.5,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2016","2016",22.8,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2017","2017",23.1,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2018","2018",20.1,,
"ITC3","Liguria","PA_DOWFO","downloading official forms","2019","2019",20.8,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2010","2010",11.5,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2011","2011",10,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2012","2012",10.7,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2013","2013",16.5,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2014","2014",12.9,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2015","2015",19,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2016","2016",13.9,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2017","2017",16,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2018","2018",17.3,,
"ITC3","Liguria","PA_SUBFO","submitting completed forms","2019","2019",18.5,,
"ITC4","Lombardia","PA_INFO","obtaining information","2010","2010",39.9,,
"ITC4","Lombardia","PA_INFO","obtaining information","2011","2011",37.1,,
"ITC4","Lombardia","PA_INFO","obtaining information","2012","2012",27,,
"ITC4","Lombardia","PA_INFO","obtaining information","2013","2013",32.8,,
"ITC4","Lombardia","PA_INFO","obtaining information","2014","2014",31.8,,
"ITC4","Lombardia","PA_INFO","obtaining information","2015","2015",34.2,,
"ITC4","Lombardia","PA_INFO","obtaining information","2016","2016",29.5,,
"ITC4","Lombardia","PA_INFO","obtaining information","2017","2017",28.4,,
"ITC4","Lombardia","PA_INFO","obtaining information","2018","2018",27.5,,
"ITC4","Lombardia","PA_INFO","obtaining information","2019","2019",26.2,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2010","2010",26.5,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2011","2011",25.4,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2012","2012",19.8,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2013","2013",26.5,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2014","2014",25.7,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2015","2015",25.7,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2016","2016",23.8,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2017","2017",24.6,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2018","2018",24.3,,
"ITC4","Lombardia","PA_DOWFO","downloading official forms","2019","2019",21.9,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2010","2010",12.7,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2011","2011",12.4,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2012","2012",12.4,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2013","2013",18.1,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2014","2014",17.5,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2015","2015",18.5,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2016","2016",15.6,,
"ITC4","Lombardia","PA_SUBFO","submitting completed forms","2017","2017",19,,
