"TIME","GEO","UNIT","Value"
"2010","Piemonte","Million euro","124 550.57"
"2010","Valle d'Aosta/Vallée d'Aoste","Million euro","4 737.8"
"2010","Liguria","Million euro","46 095.02"
"2010","Lombardia","Million euro","349 558.17"
"2010","Provincia Autonoma di Bolzano/Bozen","Million euro","20 011.83"
"2010","Provincia Autonoma di Trento","Million euro","18 381.25"
"2010","Veneto","Million euro","143 256.75"
"2010","Friuli-Venezia Giulia","Million euro","34 916.35"
"2010","Emilia-Romagna","Million euro","137 950"
"2010","Toscana","Million euro","105 269.65"
"2010","Umbria","Million euro","22 180.13"
"2010","Marche","Million euro","39 430.93"
"2010","Lazio","Million euro","187 670.27"
"2010","Abruzzo","Million euro","30 810.87"
"2010","Molise","Million euro","6 688.44"
"2010","Campania","Million euro","102 910.26"
"2010","Puglia","Million euro","70 181.88"
"2010","Basilicata","Million euro","11 193.34"
"2010","Calabria","Million euro","33 038.42"
"2010","Sicilia","Million euro","88 256.31"
"2010","Sardegna","Million euro","32 779.85"
"2011","Piemonte","Million euro","127 658.92"
"2011","Valle d'Aosta/Vallée d'Aoste","Million euro","4 838.8"
"2011","Liguria","Million euro","47 152.07"
"2011","Lombardia","Million euro","357 748.42"
"2011","Provincia Autonoma di Bolzano/Bozen","Million euro","20 728.88"
"2011","Provincia Autonoma di Trento","Million euro","18 859.09"
"2011","Veneto","Million euro","148 113.35"
"2011","Friuli-Venezia Giulia","Million euro","35 685.84"
"2011","Emilia-Romagna","Million euro","143 928.65"
"2011","Toscana","Million euro","108 102.64"
"2011","Umbria","Million euro","22 427.21"
"2011","Marche","Million euro","40 101.9"
"2011","Lazio","Million euro","191 721.46"
"2011","Abruzzo","Million euro","32 245.32"
"2011","Molise","Million euro","6 700.02"
"2011","Campania","Million euro","102 994.62"
"2011","Puglia","Million euro","71 743.43"
"2011","Basilicata","Million euro","11 562.09"
"2011","Calabria","Million euro","33 276.96"
"2011","Sicilia","Million euro","88 279.15"
"2011","Sardegna","Million euro","33 322.27"
