"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",53040,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",52368,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",53190,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",52686,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",52313,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",51508,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",51457,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",13722,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",13548,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",14027,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",14337,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",13945,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",13640,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",13917,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",12167,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",12382,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",12533,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",12717,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",12698,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",12696,,
"ITC3","Liguria","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",12449,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",36893,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",37328,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",37788,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",39002,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",37875,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",37831,,
"ITC1","Piemonte","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",38412,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",1054,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",1115,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",1192,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",1227,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",1192,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",1134,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",1193,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",87217,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",89069,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",91058,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",94084,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",93352,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",92635,,
"ITC4","Lombardia","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",94020,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",11121,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",11184,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2014","2014",11355,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2015","2015",11434,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2016","2016",11261,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2017","2017",10978,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","population on 1st January","9","total","Y14","14 years","99","total","2018","2018",11133,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y14","14 years","99","total","2012","2012",5795,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y14","14 years","99","total","2013","2013",5738,,
